Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,Label
2011-01-01,3.74,2835.9,142,0,0,0,0,4
2011-01-02,3.76,2836.09,239,0,0,0,0,0
2011-01-03,3.77,2836.22,166,0,0,0,0,3
2011-01-04,3.78,2836.31,118,0,0,0,0,3
2011-01-05,3.79,2836.41,130,0,0,0,0,0
2011-01-06,3.81,2836.54,167,0,0,0,0,3
2011-01-07,3.82,2836.635,149,0,0,0,0,3
2011-01-08,3.83,2836.73,131,0,0,0,0,3
2011-01-09,3.84,2836.81,112,0,0,0,0,0
2011-01-10,3.85,2836.93,160,0,0,0,0,0
2011-01-11,3.86,2837.06,172,0,0,0,0,1
2011-01-12,3.88,2837.23,100,0,0,0,0,1
2011-01-13,3.88,2837.23,100,0,0,0,0,1
2011-01-14,3.885,2837.3,100,0,0,0,0,1
2011-01-15,3.89,2837.37,100,0,0,0,0,3
2011-01-16,3.9,2837.45,112,0,0,0,0,1
2011-01-17,3.91,2837.52,100,0,0,0,0,3
2011-01-18,3.92,2837.61,124,0,0,0,0,1
2011-01-19,3.93,2837.68,100,0,0,0,0,3
2011-01-20,3.93,2837.76,112,0,0,0,0,1
2011-01-21,3.94,2837.815,88,0,0,0,0,1
2011-01-22,3.95,2837.87,64,0,0,0,0,1
2011-01-23,3.95,2837.94,100,0,0,0,0,1
2011-01-24,3.96,2838.01,100,0,0,0,0,1
2011-01-25,3.97,2838.06,76,0,0,0,0,1
2011-01-26,3.98,2838.16,74,0,0,0,0,1
2011-01-27,3.98,2838.16,74,0,0,0,0,1
2011-01-28,3.985,2838.215,87,0,0,0,0,1
2011-01-29,3.99,2838.27,100,0,0,0,0,1
2011-01-30,3.99,2838.32,76,0,0,0,0,1
2011-01-31,4,2838.36,64,0,0,0,0,1
2011-02-01,4,2838.4,64,0,0,0,0,1
2011-02-02,4,2838.44,64,0,0,0,0,1
2011-02-03,4.01,2838.48,64,0,0,0,0,1
2011-02-04,4.015,2838.515,64,0,0,0,0,1
2011-02-05,4.02,2838.55,64,0,0,0,0,1
2011-02-06,4.02,2838.58,52,0,0,0,0,1
2011-02-07,4.02,2838.61,52,0,0,0,0,1
2011-02-08,4.03,2838.65,64,0,0,0,0,1
2011-02-09,4.03,2838.69,64,0,0,0,0,1
2011-02-10,4.03,2838.72,52,0,0,0,0,1
2011-02-11,4.035,2838.745,52,0,0,0,0,1
2011-02-12,4.04,2838.77,52,0,0,0,0,0
2011-02-13,4.04,2838.79,39,0,0,0,0,0
2011-02-14,4.04,2838.81,41,0,0,0,0,0
2011-02-15,4.05,2838.83,40,0,0,0,0,1
2011-02-16,4.05,2838.86,52,0,0,0,0,1
2011-02-17,4.05,2838.9,64,0,0,0,0,1
2011-02-18,4.055,2838.92,58,0,0,0,0,1
2011-02-19,4.06,2838.94,52,0,0,0,0,1
2011-02-20,4.06,2838.97,52,0,0,0,0,0
2011-02-21,4.06,2838.99,40,0,0,0,0,1
2011-02-22,4.07,2839.02,52,0,0,0,0,0
2011-02-23,4.07,2839.04,40,0,0,0,0,0
2011-02-24,4.07,2839.06,40,0,0,0,0,3
2011-02-25,4.085,2839.195,148,0,0,0,0,4
2011-02-26,4.1,2839.33,256,0,0,0,0,0
2011-02-27,4.1,2839.35,40,0,0,0,0,0
2011-02-28,4.1,2839.36,28,0,0,0,0,1
2011-03-01,4.1,2839.39,52,0,0,0,0,0
2011-03-02,4.11,2839.41,40,0,0,0,0,0
2011-03-03,4.11,2839.41,22,0,0,0,0,0
2011-03-04,4.11,2839.415,28,0,0,0,0,0
2011-03-05,4.11,2839.42,34,0,0,0,0,0
2011-03-06,4.11,2839.43,34,0,0,0,0,0
2011-03-07,4.11,2839.43,22,0,0,0,0,0
2011-03-08,4.11,2839.43,22,0,0,0,0,0
2011-03-09,4.11,2839.44,23,0,0,0,0,0
2011-03-10,4.11,2839.43,29,0,0,0,0,0
