Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,lower,result,upper,lowLabel,resultlabel,uplabel,level(ft)
2018-01-10,2.61,2819.35,135.0,70.0,0.04583333333333334,1.05611111111111,0.0,51.67640511475993,97.67133518540756,114.94736770539724,0,0,0,2814.7031136135442
2018-01-11,2.62,2819.4,125.0,70.0,0.046478873239436634,1.0709859154929566,0.0,59.30787714123905,112.03189100948936,136.23089650982658,0,0,0,2814.736336752979
2018-01-12,2.62,2819.44,125.0,70.0,0.04712441314553991,1.0858607198748031,0.0,51.67640511475993,97.67133518540756,118.75888055204318,0,0,0,2814.800561496837
2018-01-13,2.62,2819.48,125.0,70.0,0.0477699530516432,1.1007355242566499,0.0,64.43266810398485,97.67133518540756,118.75888055204318,0,0,0,2814.8245266440736
2018-01-14,2.625,2819.52,120.0,70.0,0.048415492957746484,1.1156103286384964,0.0,63.632668103984884,97.67133518540756,118.75888055204318,0,0,0,2814.8250709023314
2018-01-15,2.63,2819.56,115.0,70.0,0.049061032863849774,1.130485133020343,0.0,64.43266810398485,94.74353835970544,116.32684351489341,0,0,0,2814.860031340304
2018-01-16,2.63,2819.59,115.0,70.0,0.04970657276995306,1.1453599374021897,0.0,64.43266810398485,94.74353835970544,114.94736770539724,0,0,0,2814.9072781868263
2018-01-17,2.64,2819.63,115.0,70.0,0.05035211267605635,1.1602347417840362,0.0,73.21348490945071,94.74353835970544,114.94736770539724,0,0,0,2814.919439008088
2018-01-18,2.64,2819.66,115.0,70.0,0.05099765258215963,1.1751095461658831,0.0,64.43266810398485,94.74353835970544,116.32684351489341,0,0,0,2814.9896984761554
2018-01-19,2.64,2819.7,123.0,70.0,0.05164319248826292,1.1899843505477294,0.0,73.21348490945071,94.74353835970544,116.32684351489341,0,0,0,2815.010276060797
2018-01-20,2.65,2819.72,105.0,70.0,0.052288732394366204,1.2048591549295762,0.0,64.43266810398485,94.74353835970544,114.94736770539724,0,0,0,2815.0105206907047
2018-01-21,2.65,2819.75,107.5,70.0,0.05293427230046949,1.2197339593114227,0.0,73.97919181474587,94.74353835970544,121.91777598403756,0,0,0,2815.078644269626
2018-01-22,2.65,2819.78,110.0,70.0,0.053579812206572784,1.2346087636932694,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2815.104838548971
2018-01-23,2.65,2819.81,112.0,70.0,0.05422535211267606,1.249483568075116,0.0,73.21348490945071,94.74353835970544,112.11360147163096,0,0,0,2815.1043665987218
2018-01-24,2.66,2819.83,112.0,70.0,0.05487089201877935,1.2643583724569627,0.0,73.21348490945071,94.74353835970544,114.94736770539724,0,0,0,2815.1039081023596
2018-01-25,2.66,2819.87,120.0,70.0,0.05551643192488264,1.2792331768388092,0.0,73.21348490945071,94.74353835970544,116.32684351489341,0,0,0,2815.173413874008
2018-01-26,2.66,2819.9,115.0,70.0,0.05616197183098592,1.2941079812206555,0.0,64.43266810398485,94.74353835970544,116.32684351489341,0,0,0,2815.1936591625476
2018-01-27,2.66,2819.92,115.0,70.0,0.056807511737089214,1.3089827856025025,0.0,64.43266810398485,94.74353835970544,114.94736770539724,0,0,0,2815.191685062845
2018-01-28,2.665,2819.95,115.0,70.0,0.0574530516431925,1.3238575899843492,0.0,73.21348490945071,94.74353835970544,114.94736770539724,0,0,0,2815.1936673071473
2018-01-29,2.67,2819.98,115.0,70.0,0.058098591549295774,1.3387323943661955,0.0,64.43266810398485,94.74353835970544,114.94736770539724,0,0,0,2815.2288909226663
2018-01-30,2.67,2820.0,104.0,70.0,0.05874413145539908,1.3536071987480425,0.0,64.43266810398485,94.74353835970544,114.94736770539724,0,0,0,2815.2742414167387
2018-01-31,2.67,2820.02,104.0,70.0,0.05938967136150235,1.368482003129889,0.0,73.21348490945071,94.74353835970544,112.11360147163096,0,0,0,2815.284936409935
2018-02-01,2.67,2820.03,95.0,70.0,0.06003521126760565,1.3833568075117355,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2815.2887851868977
2018-02-02,2.67,2820.04,95.0,70.0,0.06068075117370893,1.3982316118935822,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.287578638701
2018-02-03,2.68,2820.05,95.0,70.0,0.061326291079812224,1.4131064162754288,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.2906410514925
2018-02-04,2.68,2820.0600000000004,95.0,70.0,0.0619718309859155,1.4279812206572755,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.3605766920246
2018-02-05,2.68,2820.07,95.0,70.0,0.06261737089201877,1.4428560250391218,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.3807977813794
2018-02-06,2.68,2820.08,95.0,70.0,0.06326291079812207,1.4577308294209683,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.3809338459437
2018-02-07,2.68,2820.1,95.0,70.0,0.06390845070422536,1.4726056338028153,0.0,64.04200384131063,86.83776884688544,88.84119207984081,0,0,0,2815.3810699105084
2018-02-08,2.68,2820.12,98.0,70.0,0.06455399061032864,1.4874804381846618,0.0,64.04200384131063,86.83776884688544,87.46171627034461,0,0,0,2815.381257673479
2018-02-09,2.68,2820.15,110.0,70.0,0.06519953051643193,1.5023552425665083,0.0,69.89910183802571,94.74353835970544,112.11360147163096,0,0,0,2815.383118228172
2018-02-10,2.69,2820.17,105.0,70.0,0.06584507042253522,1.5172300469483548,0.0,73.21348490945071,94.74353835970544,116.32684351489341,0,0,0,2815.3821437130096
