RCDATE,DISTRICT,TALUK_NAME,RAIN,MINTEMPERATURE,MAXTEMPERATURE,MINHUMIDITY,MAXHUMIDITY
2018-06-01,HASSAN,ALUR,1.5074999999999998,21.225,29.75,76.35000000000002,100.0
2018-06-02,HASSAN,ALUR,15.2875,18.725,30.675000000000004,69.725,100.0
2018-06-03,HASSAN,ALUR,5.2825,20.65,29.575,80.57499999999997,100.0
2018-06-04,HASSAN,ALUR,1.51,20.3125,29.075,83.94999999999997,100.0
2018-06-05,HASSAN,ALUR,0.1,19.975,28.575,87.325,100.0
2018-06-06,HASSAN,ALUR,0.82,20.6,29.2,73.80000000000003,100.0
2018-06-07,HASSAN,ALUR,0.3625,20.325000000000006,28.2,77.25,100.0
2018-06-08,HASSAN,ALUR,21.955,19.7,25.65,90.55,100.0
2018-06-09,HASSAN,ALUR,22.645,19.35,22.05,98.95000000000002,100.0
2018-06-10,HASSAN,ALUR,28.4025,19.325000000000006,22.25,98.32500000000002,100.0
2018-06-11,HASSAN,ALUR,55.545,20.125,23.225,99.9,100.0
2018-06-12,HASSAN,ALUR,76.4375,19.075000000000006,22.65,99.9,100.0
2018-06-13,HASSAN,ALUR,13.9325,19.175,25.075,95.275,100.0
2018-06-14,HASSAN,ALUR,15.1725,18.625,26.2,94.125,100.0
2018-06-15,HASSAN,ALUR,1.4875,18.675,23.875,95.4,100.0
2018-06-16,HASSAN,ALUR,0.9725,19.95,28.85,77.875,100.0
2018-06-17,HASSAN,ALUR,0.1725,19.6125,26.925,85.825,100.0
2018-06-18,HASSAN,ALUR,6.68,19.275,25.0,93.775,100.0
2018-06-19,HASSAN,ALUR,6.6450000000000005,19.725,26.375,94.65,100.0
2018-06-20,HASSAN,ALUR,3.3825000000000003,19.025,22.975,96.025,100.0
2018-06-21,HASSAN,ALUR,2.1575,19.475,24.725,94.725,100.0
2018-06-22,HASSAN,ALUR,1.965,18.325,23.375000000000004,92.925,100.0
2018-06-23,HASSAN,ALUR,0.5025,18.825,25.5,89.65,100.0
2018-06-24,HASSAN,ALUR,2.535,18.925,24.200000000000006,96.175,100.0
2018-06-25,HASSAN,ALUR,3.8525,18.25,25.775,96.675,100.0
2018-06-26,HASSAN,ALUR,7.0525,18.375,24.15,96.525,100.0
2018-06-27,HASSAN,ALUR,5.145,18.800000000000004,23.5,93.95000000000002,100.0
2018-06-28,HASSAN,ALUR,32.8,18.025,23.6,96.9,100.0
2018-06-29,HASSAN,ALUR,8.7875,18.925,23.65,96.65,100.0
2018-06-30,HASSAN,ALUR,1.2125,18.8,25.0375,91.05,100.0
2018-07-01,HASSAN,ALUR,0.3175,18.675,26.425,85.45000000000002,100.0
2018-07-02,HASSAN,ALUR,0.31,18.525,27.6,77.075,100.0
2018-07-03,HASSAN,ALUR,2.2275,18.75,26.075000000000006,93.375,100.0
2018-07-04,HASSAN,ALUR,2.3875,19.15,25.35,90.02499999999998,100.0
2018-07-05,HASSAN,ALUR,1.67,19.0,25.8,89.075,100.0
2018-07-06,HASSAN,ALUR,1.5625,18.1,26.275,84.7,100.0
2018-07-07,HASSAN,ALUR,30.47,19.15,21.725,99.3,100.0
2018-07-08,HASSAN,ALUR,9.0825,19.3,22.1,98.85,100.0
2018-07-09,HASSAN,ALUR,8.81,19.575000000000006,24.525,96.1,100.0
2018-07-10,HASSAN,ALUR,29.067500000000006,19.575,26.0,94.70000000000002,100.0
2018-07-11,HASSAN,ALUR,30.815,19.125,23.1,97.35,100.0
2018-07-12,HASSAN,ALUR,37.37000000000001,18.975,23.200000000000006,98.8,100.0
2018-07-13,HASSAN,ALUR,22.5475,19.15,22.75,98.9375,100.0
2018-07-14,HASSAN,ALUR,25.880000000000006,19.325,22.3,99.07500000000002,100.0
2018-07-15,HASSAN,ALUR,22.4625,19.2,22.1,99.45000000000002,100.0
2018-07-16,HASSAN,ALUR,11.2375,19.4,23.85,94.3,100.0
2018-07-17,HASSAN,ALUR,18.96,18.700000000000006,23.225,96.9,100.0
2018-07-18,HASSAN,ALUR,12.84,18.55,22.525,97.675,100.0
2018-07-19,HASSAN,ALUR,5.4475,19.075,23.425,98.975,100.0
2018-07-20,HASSAN,ALUR,7.5675,18.700000000000006,22.475,99.025,100.0
2018-07-21,HASSAN,ALUR,8.0775,19.2,21.2,99.9,100.0
2018-07-22,HASSAN,ALUR,16.1825,19.15,21.85,97.5,100.0
2018-07-23,HASSAN,ALUR,9.2075,19.375,22.875000000000004,97.5,100.0
2018-07-24,HASSAN,ALUR,8.932500000000003,19.3,23.075,97.85,100.0
2018-07-25,HASSAN,ALUR,6.637500000000001,19.3,23.275,98.025,100.0
2018-07-26,HASSAN,ALUR,2.65,19.2375,24.262500000000006,93.325,100.0
2018-07-27,HASSAN,ALUR,2.025,19.175,25.250000000000004,88.625,100.0
2018-07-28,HASSAN,ALUR,5.2,19.45,23.625,96.925,100.0
2018-07-29,HASSAN,ALUR,1.98,19.65,23.275,98.0,100.0
2018-07-30,HASSAN,ALUR,0.29500000000000004,19.45,25.675,92.425,100.0
2018-07-31,HASSAN,ALUR,3.18,19.4,24.875,96.65,100.0
2018-08-01,HASSAN,ALUR,3.4275,19.075,23.25,96.3,100.0
2018-08-02,HASSAN,ALUR,3.675,18.975,24.575,95.125,100.0
2018-08-03,HASSAN,ALUR,1.8725000000000005,19.075,25.275,86.3,100.0
2018-08-04,HASSAN,ALUR,0.54,19.25,25.200000000000006,85.77499999999998,100.0
2018-08-05,HASSAN,ALUR,1.3975,18.950000000000006,25.175,85.625,100.0
2018-08-06,HASSAN,ALUR,7.4275,18.9,25.0,85.72500000000002,100.0
2018-08-07,HASSAN,ALUR,4.68,18.85,23.9,95.4,100.0
2018-08-08,HASSAN,ALUR,7.579999999999999,18.875,23.3625,95.7,100.0
2018-08-09,HASSAN,ALUR,12.697500000000002,18.9,22.825,96.0,100.0
2018-08-10,HASSAN,ALUR,3.7525,19.125,23.4,95.7,100.0
2018-08-11,HASSAN,ALUR,2.5025,18.875,23.275,94.35,100.0
