,tar,out
0,127.95653,314.0393
1,125.78261,314.81842
2,123.60869,315.60126
3,121.434784,316.38748
4,119.26087,317.17728
5,117.08696,317.97058
6,114.91305,318.76733
7,112.73913,319.56766
8,110.56521,320.37143
9,108.391304,321.1788
10,106.21739,321.98962
11,104.04348,322.80392
12,101.86957,323.62177
13,99.695656,324.44308
14,97.521736,325.26794
15,95.347824,326.09622
16,93.17391,326.9279
17,91.0,327.76328
18,87.0,328.602
19,79.0,329.44424
20,70.0,330.29007
21,79.0,330.72284
22,66.0,329.88605
23,66.0,327.73526
24,66.0,328.84256
25,66.0,328.31934
26,75.0,329.3742
27,66.0,329.39328
28,66.0,331.54782
29,66.0,335.76465
30,62.0,337.64966
31,58.0,339.51535
32,58.0,340.20923
33,58.0,341.4696
34,54.0,341.94156
35,62.0,342.6755
36,71.0,344.20526
37,66.5,345.4802
38,62.0,348.71774
39,49.999996,353.91138
40,49.999996,358.1881
41,46.000004,359.95572
42,58.0,357.77997
43,71.0,356.87268
44,79.0,356.1954
45,87.0,360.38358
46,63.000004,367.32803
47,58.0,375.9706
48,49.999996,383.79263
49,46.000004,383.4301
50,42.0,381.0747
51,49.5,376.5223
52,57.0,375.43643
53,33.0,374.65344
54,39.0,377.18616
55,45.0,382.01633
56,39.0,381.49005
57,28.0,381.60452
58,28.0,382.48883
59,28.0,385.5793
60,22.0,385.12277
61,33.0,384.22098
62,171.0,384.68982
63,239.0,385.60065
64,108.0,389.24704
65,152.0,424.69287
66,196.0,472.21683
67,240.0,480.77994
68,102.0,478.3927
69,80.0,477.9585
70,57.0,506.66544
71,57.0,493.1701
72,62.0,470.07864
73,63.000004,439.69345
74,91.0,433.76648
75,63.000004,433.44943
76,57.0,437.0458
77,51.0,446.95114
78,51.0,448.60855
79,47.999996,448.63583
80,45.0,443.7371
81,34.0,443.9088
82,34.0,444.59268
83,28.0,445.6791
84,23.000002,444.40427
85,42.0,444.08237
86,33.0,443.2425
87,23.999998,443.26978
88,23.999998,448.09222
89,30.0,451.39728
90,26.0,453.08112
91,26.0,452.17538
92,32.0,454.48895
93,30.333334,457.19302
94,28.666666,459.8223
95,27.0,462.98795
96,27.0,466.2508
97,23.000002,468.97586
98,125.0,470.41745
99,117.0,472.25244
100,113.0,473.49243
101,23.000002,499.0264
102,17.0,519.6116
103,17.0,536.70703
104,19.0,515.94257
105,13.0,498.10428
106,19.0,484.20987
107,16.0,486.1521
108,13.0,487.6385
109,30.0,490.65906
110,30.0,492.65738
111,13.0,494.85715
112,19.0,500.24045
113,19.0,505.6992
114,21.5,507.08966
115,23.999998,507.56293
116,19.0,508.4327
117,19.0,512.5624
118,19.0,516.19135
119,19.0,518.4821
120,36.0,520.4272
121,33.0,522.1247
122,30.0,524.6729
123,24.999998,531.23376
124,19.0,536.5519
125,30.0,540.678
126,59.0,540.9443
127,53.0,540.5693
128,44.5,543.66766
129,36.0,554.3273
130,31.0,563.29095
131,24.999998,567.5745
132,19.0,565.403
133,24.999998,563.6353
134,19.0,562.3489
135,55.500004,561.455
136,92.00001,563.2343
137,59.0,564.63324
138,53.0,575.69055
139,24.999998,593.4266
140,19.0,601.9402
141,19.0,602.6094
142,73.5,591.7478
143,128.0,586.1948
144,54.0,582.82764
145,59.0,597.39233
146,59.0,624.194
147,172.0,629.7859
148,132.0,627.7456
149,146.5,618.79486
150,161.0,649.211
151,124.0,224.9466
152,90.0,691.37537
153,73.0,259.9109
154,102.0,132.52383
155,193.0,242.72783
156,276.5,254.39517
157,360.0,353.52765
158,1594.9999,538.75574
159,1137.0,665.9435
160,1354.0,1596.0045
161,1836.0,1848.5165
162,2501.0,1161.309
163,3210.5,2107.2903
164,3920.0,3476.0322
165,2498.0,4404.992
166,1708.5,3219.512
167,919.0,3195.117
168,777.0,2074.2566
169,937.00006,2345.459
170,1091.0,1142.1837
171,4825.0,999.2474
172,8670.0,1119.3309
173,13831.0,1562.3636
174,9083.0,6206.0566
175,5193.0,7245.046
176,6507.0,7314.559
177,4440.0,6815.277
178,2373.0,5570.312
179,2195.0,4102.111
180,9740.001,3619.4626
181,9633.0,3292.2815
182,11497.0,3711.4507
183,8050.0,11585.942
184,7535.0005,7773.5083
185,7020.0,7609.949
186,7158.0,6856.594
187,6238.0,5457.6055
188,6937.0,5144.704
189,11091.001,5306.8135
190,5748.0,5694.2124
191,6162.5,6018.191
192,6577.0,7676.6133
193,7533.0,6121.073
194,6326.0,5117.597
195,11981.0,4720.752
196,18606.0,6063.841
197,20425.0,6344.071
198,16793.0,10494.993
199,13161.0,16967.777
200,9825.0,18399.248
201,13322.0,15930.489
202,10345.001,13258.897
203,10032.0,11708.323
204,10071.001,12568.124
205,10051.5,11738.338
206,10032.0,10118.066
207,4271.0,8629.649
208,6340.9995,8281.482
209,12836.001,6691.8564
210,10367.999,6766.819
211,8967.0,6204.379
212,8080.0,9100.983
213,7193.0,9878.971
214,9113.0,8300.196
215,7389.0,6053.8276
216,5477.0005,5165.29
217,4255.0,5575.356
218,4855.0,5207.05
219,4498.5,4443.934
220,4142.0,3356.1458
221,4128.0,3076.357
222,4117.0,2965.3125
223,3649.0,2688.476
224,3441.0,2873.1445
225,3073.0,2605.4944
226,3414.0,2559.8464
227,3755.0,2392.01
228,4069.0,2242.6477
229,4320.0,2498.5122
230,4031.0,2591.064
231,4015.0,3152.959
232,4942.0,3110.9521
233,3970.5,2966.1614
234,2999.0,2880.2297
235,2645.0,2901.6792
236,3020.0,2659.9287
237,2684.0,2537.6973
238,1927.0,2017.7014
239,2075.0,1813.6393
240,2223.0,1764.3839
241,1622.0,1541.2081
242,1857.0,1340.9376
243,1807.0,1382.3752
244,1641.0,1211.0659
245,1685.0,1222.1733
246,1578.0,1236.2714
247,1626.0,1272.2402
248,1674.0,1405.6344
249,1993.0,1274.126
250,1681.0,1479.7229
251,1457.0,1266.817
252,1332.0,1181.2963
253,1579.0,1160.285
254,1638.0,1439.7048
255,1697.0,1159.4998
256,1658.0,1214.9441
257,2490.0,1243.9233
258,3893.0,1159.7097
259,7603.0,1690.7074
260,5057.0,2852.5093
261,3847.5,3204.9553
262,2638.0,4929.612
263,2648.0,4207.625
264,1578.0,3229.2334
265,1253.0,2346.1199
266,1398.9999,1915.8579
267,1125.0,1420.7875
